k,estimate,conf.low,conf.high,spec
-16,-0.00253656994479134,-0.14789857524734,0.142825435357757,"A.  Difference-in-differences: Turkish versus other languages, paid titles"
-15,-0.0790822824492196,-0.255604026150074,0.0974394612516343,"A.  Difference-in-differences: Turkish versus other languages, paid titles"
-14,-0.249592629677866,-0.399478803546407,-0.0997064558093253,"A.  Difference-in-differences: Turkish versus other languages, paid titles"
-13,-0.192691639461613,-0.354322267676895,-0.0310610112463307,"A.  Difference-in-differences: Turkish versus other languages, paid titles"
-12,-0.0228424868966854,-0.182580653868283,0.136895680074912,"A.  Difference-in-differences: Turkish versus other languages, paid titles"
-11,-0.189552870597983,-0.336148046244433,-0.0429576949515333,"A.  Difference-in-differences: Turkish versus other languages, paid titles"
-10,0.0202763407070321,-0.114767520854098,0.155320202268162,"A.  Difference-in-differences: Turkish versus other languages, paid titles"
-9,0.0798016998102519,-0.0432720944406811,0.202875494061185,"A.  Difference-in-differences: Turkish versus other languages, paid titles"
-8,0.0712573411360666,-0.0534526526679501,0.195967334940083,"A.  Difference-in-differences: Turkish versus other languages, paid titles"
-7,0.0537644263125996,-0.0438381533012092,0.151367005926408,"A.  Difference-in-differences: Turkish versus other languages, paid titles"
-6,-0.0628530905845302,-0.161554028159991,0.0358478469909301,"A.  Difference-in-differences: Turkish versus other languages, paid titles"
-5,0.154428390154304,0.0445904204706054,0.264266359838003,"A.  Difference-in-differences: Turkish versus other languages, paid titles"
-4,0.271733978135473,0.15200283954504,0.391465116725906,"A.  Difference-in-differences: Turkish versus other languages, paid titles"
-3,-0.0183899162739444,-0.112973258816551,0.0761934262686626,"A.  Difference-in-differences: Turkish versus other languages, paid titles"
-2,-0.0744677695555085,-0.219043486328193,0.0701079472171758,"A.  Difference-in-differences: Turkish versus other languages, paid titles"
0,0.0679139633847275,-0.0455627585740041,0.181390685343459,"A.  Difference-in-differences: Turkish versus other languages, paid titles"
1,-0.618443639138115,-0.729864140308175,-0.507023137968056,"A.  Difference-in-differences: Turkish versus other languages, paid titles"
2,-0.466988985593764,-0.572287206679673,-0.361690764507855,"A.  Difference-in-differences: Turkish versus other languages, paid titles"
