dropped,est
620,-0.494256306328802
4000,-0.482653539830889
105600,-0.502273446495667
108600,-0.499150500009708
242760,-0.493460497154694
250900,-0.478701527579155
261550,-0.482653539830889
268910,-0.474148692792956
271590,-0.482653539830889
275850,-0.467780317499181
289070,-0.457708141858233
292030,-0.481802803801964
322330,-0.480364056996956
377160,-0.501635926361266
381210,-0.496439538281526
413150,-0.475851729506462
431960,-0.504737366428965
588650,-0.469081711319635
632360,-0.474210292939963
646570,-0.468044833737017
813780,-0.486773552782825
892970,-0.490908682540555
1145360,-0.479817947951386
1174180,-0.458621556691819
1794680,-0.482653539830889
