language,est,rank
turkish,-0.499208953944166,1
schinese,-0.176915886375371,2
tchinese,-0.16838059970944,3
swedish,-0.143594564785804,4
german,-0.134486960620395,5
koreana,-0.0989351875566362,6
spanish,-0.0877839955749804,7
dutch,-0.0770292122025139,8
finnish,-0.0674446383524673,9
czech,-0.059812281003964,10
bulgarian,-0.0493111424112508,11
polish,-0.0461845497215561,12
romanian,-0.0449372472394404,13
portuguese,-0.0330944291886611,14
danish,-0.0316388021754021,15
thai,-0.0248932196127513,16
norwegian,-0.0222687260812624,17
italian,0.0121579955245699,18
hungarian,0.0447820966497705,19
japanese,0.0986244381387518,20
french,0.0997633428531503,21
brazilian,0.135047993896561,22
greek,0.154534452059704,23
vietnamese,0.223142191811342,24
latam,0.247363137822462,25
ukrainian,0.302490798208398,26
russian,0.397053827334785,27
indonesian,0.83582986277059,28
