Language,titles,obs,reviews,mean_mo,pos,key
schinese,412,14420,1009921,70,0.825,0.147
russian,413,14455,935977,64.8,0.872,0.159
brazilian,447,15645,903051,57.7,0.924,0.128
spanish,453,15855,867344,54.7,0.919,0.167
turkish,473,16555,834147,50.4,0.876,0.103
polish,471,16485,540232,32.8,0.909,0.238
german,464,16240,537349,33.1,0.877,0.24
french,465,16275,395874,24.3,0.887,0.259
koreana,455,15925,311772,19.6,0.842,0.128
latam,461,16135,226436,14,0.92,0.138
ukrainian,448,15680,218006,13.9,0.896,0.121
tchinese,435,15225,156561,10.3,0.832,0.116
czech,447,15645,144205,9.2,0.919,0.235
thai,414,14490,68948,4.8,0.913,0.127
japanese,425,14875,61717,4.1,0.78,0.091
hungarian,424,14840,53615,3.6,0.918,0.262
italian,21,735,17927,24.4,0.92,0.249
portuguese,21,735,8140,11.1,0.953,0.183
swedish,21,735,7263,9.9,0.929,0.15
dutch,21,735,5881,8,0.939,0.182
finnish,21,735,5782,7.9,0.92,0.171
danish,20,700,3307,4.7,0.931,0.187
norwegian,21,735,2751,3.7,0.923,0.122
romanian,20,700,2163,3.1,0.945,0.188
vietnamese,19,665,1797,2.7,0.933,0.123
greek,21,735,1273,1.7,0.927,0.166
bulgarian,20,700,1062,1.5,0.905,0.127
indonesian,15,525,580,1.1,0.928,0.109
